Clusters	Gene1	Gene2
0	ENSG00000242887.1	ENSG00000254938.1
0	ENSG00000226819.1	ENSG00000146263.7
0	ENSG00000141527.12	ENSG00000259706.1
0	ENSG00000150667.6	ENSG00000235912.1
0	ENSG00000269275.1	ENSG00000151725.7
0	ENSG00000164404.4	ENSG00000221630.1
0	ENSG00000267480.1	ENSG00000185130.4
0	ENSG00000238823.1	ENSG00000238021.2
0	ENSG00000102802.5	ENSG00000139209.11
0	ENSG00000272620.1	ENSG00000152580.8
0	ENSG00000267474.1	ENSG00000199666.1
0	ENSG00000267562.1	ENSG00000234626.1
0	ENSG00000228462.1	ENSG00000229619.3
0	ENSG00000163251.3	ENSG00000271207.1
0	ENSG00000106336.8	ENSG00000228950.1
0	ENSG00000252201.1	ENSG00000253620.2
0	ENSG00000269901.1	ENSG00000137225.8
0	ENSG00000253263.1	ENSG00000236797.1
0	ENSG00000253964.1	ENSG00000266975.1
0	ENSG00000231866.2	ENSG00000164591.9
0	ENSG00000184635.9	ENSG00000265743.1
0	ENSG00000262503.1	ENSG00000236555.1
0	ENSG00000242428.1	ENSG00000272292.1
0	ENSG00000266036.1	ENSG00000137080.4
0	ENSG00000177839.4	ENSG00000169962.4
0	ENSG00000214237.5	ENSG00000224167.1
0	ENSG00000207523.1	ENSG00000206920.1
0	ENSG00000230044.1	ENSG00000043039.5
0	ENSG00000226604.2	ENSG00000237638.1
0	ENSG00000243297.2	ENSG00000214189.4
0	ENSG00000100867.10	ENSG00000257335.4
0	ENSG00000132911.4	ENSG00000256211.1
0	ENSG00000232142.1	ENSG00000252494.1
0	ENSG00000240270.1	ENSG00000201179.1
0	ENSG00000199514.1	ENSG00000241913.1
0	ENSG00000253122.1	ENSG00000259726.1
0	ENSG00000215464.4	ENSG00000202031.1
0	ENSG00000165929.8	ENSG00000151846.7
0	ENSG00000252202.1	ENSG00000236675.1
0	ENSG00000151962.3	ENSG00000229598.1
0	ENSG00000259118.1	ENSG00000231726.2
0	ENSG00000186275.7	ENSG00000236816.2
0	ENSG00000139626.11	ENSG00000228499.1
0	ENSG00000163217.1	ENSG00000238526.1
0	ENSG00000226766.1	ENSG00000257894.1
0	ENSG00000260262.1	ENSG00000108405.3
0	ENSG00000188522.10	ENSG00000255442.1
0	ENSG00000258854.1	ENSG00000128655.12
0	ENSG00000164932.8	ENSG00000271105.1
0	ENSG00000239374.1	ENSG00000270571.2
0	ENSG00000236779.1	ENSG00000200058.1
0	ENSG00000240392.1	ENSG00000132854.14
0	ENSG00000223062.1	ENSG00000252478.1
0	ENSG00000230847.4	ENSG00000224223.1
0	ENSG00000248896.2	ENSG00000224459.1
0	ENSG00000238266.1	ENSG00000222955.1
0	ENSG00000202318.1	ENSG00000261857.2
0	ENSG00000207773.1	ENSG00000258090.1
0	ENSG00000272764.1	ENSG00000244556.1
0	ENSG00000232866.3	ENSG00000188848.11
0	ENSG00000223181.1	ENSG00000197262.8
0	ENSG00000214093.3	ENSG00000154175.12
0	ENSG00000108001.9	ENSG00000260852.1
0	ENSG00000273199.1	ENSG00000224910.1
0	ENSG00000151704.11	ENSG00000237672.1
0	ENSG00000239028.1	ENSG00000152766.5
0	ENSG00000100652.4	ENSG00000230058.1
0	ENSG00000213988.5	ENSG00000254102.1
0	ENSG00000231711.2	ENSG00000234838.3
0	ENSG00000265236.1	ENSG00000259804.1
0	ENSG00000253075.1	ENSG00000252339.1
0	ENSG00000261613.2	ENSG00000212576.1
0	ENSG00000206724.1	ENSG00000272203.1
0	ENSG00000267096.1	ENSG00000226080.1
0	ENSG00000231927.1	ENSG00000206815.1
0	ENSG00000259318.1	ENSG00000207197.1
0	ENSG00000106328.8	ENSG00000252098.1
0	ENSG00000256139.2	ENSG00000271732.1
0	ENSG00000255174.1	ENSG00000224117.1
0	ENSG00000010310.4	ENSG00000254604.1
0	ENSG00000227165.3	ENSG00000233493.3
0	ENSG00000268392.1	ENSG00000257141.1
0	ENSG00000265236.1	ENSG00000269473.1
0	ENSG00000139329.4	ENSG00000271767.1
0	ENSG00000184697.6	ENSG00000267026.1
0	ENSG00000199488.1	ENSG00000257169.1
0	ENSG00000261603.1	ENSG00000237911.2
0	ENSG00000233220.3	ENSG00000207295.1
0	ENSG00000231672.2	ENSG00000230772.1
0	ENSG00000236849.1	ENSG00000225570.1
0	ENSG00000170807.11	ENSG00000235957.1
0	ENSG00000235816.2	ENSG00000241597.2
0	ENSG00000264823.1	ENSG00000127084.13
0	ENSG00000075702.12	ENSG00000175592.4
0	ENSG00000224933.2	ENSG00000229380.1
0	ENSG00000251126.2	ENSG00000236502.1
0	ENSG00000259790.1	ENSG00000264017.1
0	ENSG00000214511.3	ENSG00000263830.1
0	ENSG00000253333.1	ENSG00000233479.1
0	ENSG00000270690.1	ENSG00000272660.1
0	ENSG00000211976.2	ENSG00000231485.1
0	ENSG00000254743.1	ENSG00000231295.1
0	ENSG00000257573.2	ENSG00000199512.1
0	ENSG00000124549.10	ENSG00000254256.1
0	ENSG00000203616.2	ENSG00000211942.2
0	ENSG00000232686.1	ENSG00000183765.16
0	ENSG00000135925.4	ENSG00000233609.3
0	ENSG00000232063.1	ENSG00000207642.1
0	ENSG00000227210.1	ENSG00000014257.11
0	ENSG00000272274.1	ENSG00000184898.6
0	ENSG00000164651.12	ENSG00000231704.1
0	ENSG00000270019.1	ENSG00000243051.2
0	ENSG00000225916.1	ENSG00000236216.4
0	ENSG00000210181.1	ENSG00000204666.3
0	ENSG00000211968.2	ENSG00000201036.1
0	ENSG00000270773.1	ENSG00000215630.5
0	ENSG00000250862.1	ENSG00000211931.1
0	ENSG00000200949.1	ENSG00000224307.1
0	ENSG00000249617.1	ENSG00000267298.1
0	ENSG00000236908.2	ENSG00000229017.2
0	ENSG00000201198.1	ENSG00000124882.3
